ts_ms,raw_Sv_per_s,avg_Sv_per_s,total_Sv,alert,hot_abs,hot_rel,hot_thr,normF,calib_phase
1763421843923,0.00077002841,0.00023100852,0.000128440738636,0,0,81315,225,44000,0
1763421843955,0.00076080492,0.00038994744,0.000153787322443,0,0,80341,225,44000,0
1763421844015,0.00076205492,0.00050157969,0.000187393161506,0,0,80473,225,44000,0
1763421844048,0.0007622822,0.00057979044,0.000205946455597,0,0,80497,225,44000,0
1763421844086,0.00075944129,0.00063368569,0.000226224397824,0,0,80197,225,44000,0
1763421844112,0.00076017045,0.00067163112,0.000247716593747,0,0,80274,225,44000,0
1763421844185,0.00075708333,0.00069726679,0.000295130735182,0,0,79948,225,44000,0
1763421844215,0.00074793561,0.00071246743,0.000317929693002,0,0,78982,225,44000,0
1763421844252,0.00074078598,0.000720963,0.000341000508931,0,0,78227,225,44000,0
1763421844278,0.0007385322,0.00072623376,0.000365692456687,0,0,77989,225,44000,0
1763421844345,0.00073559659,0.00072904261,0.000413809268785,0,0,77679,225,44000,0
1763421844384,0.00072715909,0.00072847755,0.000437120550467,0,0,76788,225,44000,0
1763421844415,0.00071863636,0.0007255252,0.000461788407126,0,0,75888,225,44000,0
1763421844486,0.00071519886,0.0007224273,0.000506578899491,0,0,75525,225,44000,0
1763421844512,0.00070971591,0.00071861388,0.000535323454694,0,0,74946,225,44000,0
1763421844583,0.0007111553,0.00071637631,0.000578306033112,0,0,75098,225,44000,0
1763421844609,0.00070274621,0.00071228728,0.000604660662417,0,0,74210,225,44000,0
1763421844689,0.00070128788,0.00070898746,0.000649326872308,0,0,74056,225,44000,0
1763421844718,0.00069265152,0.00070408668,0.000679602599357,0,0,73144,225,44000,0
1763421844767,0.00068163826,0.00069735215,0.000716562263316,0,0,71981,225,44000,0
1763421844801,0.00067862689,0.00069173457,0.000738697769661,0,0,71663,225,44000,0
1763421844842,0.00066970644,0.00068512613,0.000763362310454,0,0,70721,225,44000,0
1763421844869,0.00066224432,0.00067826159,0.00078506668129,0,0,69933,225,44000,0
